Локация,Название на карте
1L Лаборатория,1L Лаборатория
Junk Town (Игротека),Junk Town (Игротека)
Steam Temple,Steam Temple
Автокемпинг,Автокемпинг
Админка. Електрохаус,
Админка.АртЕль,
Админка.Бюро,
Админка.Домик Пирата,
Админка.Кухня,
Админка.Лагерь,
Админка.Медпункт,
Админка.МТС (Верстак),
Админка.Постирочная,
Админка.Тихий лагерь,
Админка.Хозпалатка,
Админка.Штаб,
Арт-Кафе “Эль-Стэйко”,Арт-Кафе “Эль-Стэйко”
Арт-объект “Диалог”,Арт-объект “Диалог”
Арт-пространство “Витражи”,Арт-пространство “Витражи”
Арт-Станция,Арт-Станция
Баня братьев Лимонов,Баня братьев Лимонов
"Бессонные качели ""Летающий паллет""",
Большой шатер мастер-классов,Большой шатер мастер-классов
Входной портал,Входной портал
Выставка “А”,Выставка “А”
Детская поляна. Костёр,Костёр
Детская поляна.Арт-объект Луна,Арт-объект Луна
Детская поляна.Арт-объект Тауматроп,Арт-объект Тауматроп
Детская поляна.Бар “Абонамат”,
Детская поляна.Большая детская сцена,Большая детская сцена
Детская поляна.Волонтерский лагерь,
Детская поляна.Гамачная,Детская гамачная
Детская Поляна.Детский сад,Детский сад
Детская Поляна.кафе “Глаз да глаз”,Кафе Глаз да Глаз
Детская поляна.Левое крыло,Левое крыло
Детская поляна.Малая детская сцена,Малая детская сцена
Детская поляна.Правое крыло,Правое крыло
Детская Поляна.Тент “Парус”,Тент “Парус”
Детская Поляна.Шатер “Детский”,Шатёр “Детский”
Диафильминариум,Диафильминариум
Домик полиции,
Души,Души
Затмение.Всё Сон,ВСЁ СОН
Затмение.Город в тумане,Город в тумане
Затмение.Живой ковёр,Живой ковёр
Затмение.Жук в Муравейнике + Нора Старейшины,Жук в Муравейнике и Нора Старейшины
Затмение.Луна,Луна
Затмение.Мандала Счастья,Мандала Счастья
Затмение.Одуванчик,Одуванчик
Затмение.Переправа,Переправа
Затмение.Перерождение,Перерождение
Затмение.Портальный гонг,Портальный гонг
Затмение.Послесущество,Послесущество
Затмение.Социальный лифт,Социальный лифт
Затмение.Умывальник,Умывальник
Затмение.Что снилось динозаврам?,Что снилось динозаврам?
Инфоцентр,Инфоцентр
Кальянная “Пилигрим”,Кальянная “Пилигрим”
Карусель Заря,Карусель Заря
Кафе “Лапки”,Кафе “Лапки”
Кафе “На той стороне”,Кафе “На той стороне”
Кафе “ништя4ная”,Кафе “Ништя4ная”
Кафе “Улей”,Кафе “Улей”
Кинобар,Кинобар
Костер у фудкорта,Большой костёр
КПП-1,КПП-1
КПП-1.Гостевой шатёр,
КПП-2,КПП-2
Лагерь у детской поляны,Лагерь у детской поляны
Лагерь. Актёров,
Лагерь. Аниматоров,
Лагерь. Лекторы и ведущие,
Лагерь. Медиков,
Лагерь. Музыкантов,
Лагерь. Фудкорт и Ярмарка,
Лагерь. Хатифнатты,
Лагерь. Энергоснаб,
Лагеря гостей Северо-Восток,Гостевые лагеря Северо-Восток
Лесной лагерь “Байка”,Лесной лагерь “Байка”
Малый шатер мастер-классов,Малый шатер мастер-классов
МастерSKYа,
Медпункт,Медпункт
Музыкальная сцена (сцена+пультовая+бэкстэйдж),Музыкальная сцена
Накрывашка “Ψ Психологическая беседка”,Психологическая беседка
Накрывашка “Ψ Психология и игры”,Ψ Психология и игры
Накрывашка “Территория тела”,Территория тела
Накрывашка “Фьюжн”,Фьюжн
Неглавный вход,Неглавный вход
Палаточный отель “Караван”,Палаточный отель “Караван”
Парковка,Парковка
Прокат палаток,Прокат палаток
Северный город,Северный город
Сокровищница Хатифнаттов,
Спортплощадка,Спортплощадка
Точка Сборки,Точка Сборки
Туалеты,WC
тЯтр,тЯтр
тЯтр.Бутафорка,Костюмерка
тЯтр.Костюмерка,Бутафорка
Фотовыставка “Лики Бессонницы”,Лики Бессонницы
Фотовыставка “Опушка леса”,
Фудкорт,Фудкорт
Чудаукцион,Чудаукцион
Шамбала №3,Шамбала №3
Шатёр “Мастер-классы” на Ярмарке,Мастер-классы на Ярмарке
Шатёр “Хатифнариум”,Хатифнариум
Шатер анимации,Шатер анимации
Экран “Детский” + ЦУЭ,Детский экран
Экран 1 +ЦУЭ (Полевой экран),Полевой экран
Экран 2 + ЦУЭ (Речной экран),Речной экран
Юрты,Юрты
Ярмарка,Ярмарка
