ID Test,Заголовок,Описание,Статус,Приоритет,что проверяем,Окружение,ссылки необходимые для прохождения,Кто выполняет
1,Жильё кэмпинг - Кнопка переход на карту не работает,"Прописываем полное описание если требуется
",исправлен,Блокирующая,"Главная, Карта",Декстоп Виндоус Хром Версия 114.0.5735.199 Android Xiaomi PocoX3Pro  13.0.1,https://redmine.cb27.ru:17443/onboard     старая ссылка,Вадим Токарев
2,Жильё прокат палаток- Кнопка переход на карту не работает,"Прописываем полное описание если требуется
",исправлен,Блокирующая,"Главная, Карта",Декстоп Виндоус Хром Версия 114.0.5735.199 Android Xiaomi PocoX3Pro  13.0.1,https://redmine.cb27.ru:17443/onboard     старая ссылка,Вадим Токарев
3,Жильё Караваны- Кнопка переход на карту не работает,"Прописываем полное описание если требуется
",исправлен,Блокирующая,"Главная, Карта",Декстоп Виндоус Хром Версия 114.0.5735.199 Android Xiaomi PocoX3Pro  13.0.1,https://redmine.cb27.ru:17443/onboard     старая ссылка,Вадим Токарев
4,Жильё Юрты- Кнопка переход на карту не работает,"Прописываем полное описание если требуется
",Новый,Блокирующая,"Главная, Карта",Декстоп Виндоус Хром Версия 114.0.5735.199 Android Xiaomi PocoX3Pro  13.0.1,https://redmine.cb27.ru:17443/onboard     старая ссылка,Вадим Токарев
5,Еда - Фудкорт кафе- Кнопка переход на карту не работает,"Прописываем полное описание если требуется
",исправлен,Блокирующая,"Главная, Карта",Декстоп Виндоус Хром Версия 114.0.5735.199 Android Xiaomi PocoX3Pro  13.0.1,https://redmine.cb27.ru:17443/onboard     старая ссылка,Вадим Токарев
6,Отсутствие контента,"несколько  блоков отсутствуют ",Новый,"Блокирующая, Значительная",Главная,Декстоп Виндоус Хром Версия 114.0.5735.199 Android Xiaomi PocoX3Pro  13.0.1,https://redmine.cb27.ru:17443/onboard     старая ссылка,Вадим Токарев
7,Нет привязки к карте во время перехода по кнопке с меню на карту,"Прописываем полное описание если требуется
",исправлен,Незначительная,"Главная, Карта",Декстоп Виндоус Хром Версия 114.0.5735.199 Android Xiaomi PocoX3Pro  13.0.1,https://redmine.cb27.ru:17443/onboard     старая ссылка,Вадим Токарев
8,Заголовок не относится к разделу  Я с ребёнком,"Прописываем полное описание если требуется
",исправлен,Незначительная,Главная,Декстоп Виндоус Хром Версия 114.0.5735.199 Android Xiaomi PocoX3Pro  13.0.1,https://redmine.cb27.ru:17443/onboard     старая ссылка,Вадим Токарев
9,Заголовок не относится к разделу Туалет и Душ,"Прописываем полное описание если требуется
",Новый,Незначительная,Главная,Декстоп Виндоус Хром Версия 114.0.5735.199 Android Xiaomi PocoX3Pro  13.0.1,https://redmine.cb27.ru:17443/onboard     старая ссылка,Вадим Токарев
10,нет привязке при переходе по странице на карту,"Прописываем полное описание если требуется
",Новый,Незначительная,Главная,Декстоп Виндоус Хром Версия 114.0.5735.199 Android Xiaomi PocoX3Pro  13.0.1,https://redmine.cb27.ru:17443/onboard     старая ссылка,Вадим Токарев
0,Дефолт,Прописываем полное описание если требуется,Новый,Легкая,"Избранное, Карта",Десктоп,https://redmine.cb27.ru:17443/onboard,Вадим Токарев
