Name,Tags,Приоритет
Изменить логи проверки дат активности в кормителе,,
Разрешить редактировать,,
Разрешить редактировать тип питания для роли роли руководителя локации,,Жизненно необходимо
ФИКС: Групповые бейджи к мобильном брейкпоинте - пагинация скрыта футером,Мобилка,В работе
Не работает фильтр “не питался”,Админка,В тесте
Возникает ошибка о повторном кормлении сразу после кормления,кормитель,В тесте
Фикс: у старшего смены убрать право удаления волонтеров,Админка,В тесте
Поиск волонтеров в групповых бейджах,Админка,В тесте
постраничная загрузка волонтеров,Админка,В тесте
ФИКС: клиентская ошибка при попытке фильтровать статистику,Админка,Жизненно необходимо
Не закрывать карточку волонтера при ошибке изменения статуса заезда,Админка,Жизненно необходимо
"Не перегенерировать qr-ы при полном синке, если они уже есть",Админка,Жизненно необходимо
Ускорить загрузку статистики в админке,Админка,Жизненно необходимо
Сделать цвет бейджа вычисляемым,Админка,Жизненно необходимо
+Удалить старые неиспользуемые поля/таблицы,Админка,Жизненно необходимо
Добавить возможность заполнения кастомных полей при создании волонтера,Админка,Жизненно необходимо
"Если волонтер добавлен в групповой бейдж, питание по личному “до” группы должно отражаться в кормителе как предупреждение",кормитель,Важно
ФИКС: в истории питания поиск не работает по имени и фамилии,Админка,Важно
"ФИКС: если в даты заезда попадает текущая - все равно при кормлении текст ""2. Даты активности не совпадают","Админка, кормитель",Важно
Поиск волонтера по позывному - сделать равными “е” и “ё”,Админка,Важно
ФИКС: создание кормления по списку ищет волонтеров только по позывному,Админка,Важно
column chooser,Админка,Важно
Возможность внесения массовых изменений,Админка,Важно
Переход на окно статистики возвращает дату на “сегодня”,кормитель,Важно
Переключение режима работы онлайн-оффлайн. не пытаться “совместить”,кормитель,Важно
учёт оплаты платников и статистика по оплатам в админке,Админка,Важно
"подтягивать из ноушена не только список направлений, но и их руководителей",Админка,Важно
Действия с группой волонтеров,Админка,Важно
изменить порядок отображения групповых бейджей руководителю локации,Мобилка,Желательно
"Отображать руководителю групповой бейдж, если в нем есть хотя бы один юзер его службы",Мобилка,Желательно
ФИКС: в истории питания можно в поиске выбрать отрицательную дату,Админка,Желательно
Автобусы,Админка,Желательно
В добавлении юзера в групповой бейдж через бейдж добавить поле “служба”,Админка,Желательно
Из истории питания переход с транзакции по клику в карточку волонтера,Админка,Желательно
Возможность учесть группу покормленных анонимов,кормитель,Желательно
Сделать кормление по списку персонализированным,Админка,Желательно
Автозамена раскладки при вводе буквенного кода бейджа,Админка,Желательно
Добавить в раздел истории кормлений столбец “прием пищи”,кормитель,Желательно
Добавить в раздел волонтеров информацию о числе волонтеров на поле,Админка,Желательно
Сделать нерегистрозависимым поле записи руководителя направления,Админка,Желательно
Линковать детей с родителями,Админка,Будет приятно
ФИКС: отображение названия приема пищи дожор в истории питания на волонтере - со знаком вопроса,Админка,Будет приятно
Чек-бокс “бейдж выдан руководителю”,Админка,Будет приятно
В историю питания в карточке волонтера добавить столбец 0/1 - была ли выдана порция,Админка,Будет приятно
кнопка удаления транзакции кормления - убрать из боя,Админка,Будет приятно
При наведении на зеленую галочку в заголовке в списке волонтеров - тултип «активирован»,Админка,Будет приятно
возможность сохранить как пресеты выбранные наборы столбцов,Админка,Будет приятно
в меню группового бейджа убрать постраничное разделение,Админка,Будет приятно
кнопка «очистить все фильтры»,Админка,Будет приятно
+ФИКС: убрать возможность добавления двух заездов с одинаковыми датами,Админка,Сделано
Задвоение записей в истории питания,Админка,Сделано
Разные хотелки Паники и Гены,Админка,Сделано
Фиксы в истории волонтеров и кормлений,"Админка, кормитель",Сделано
Маленький размер телефона кормителя на фестивальном ноутбуке,Админка,Сделано
Заезды не подгружаются при повторном открытии,Админка,Сделано
Серверная фильтрация и пейджирование для таблицы волонтеров,Админка,Сделано
Отображение партии бейджа и редактирование номера бейджа,Админка,Сделано
Новая синхронизация из ноушена,Админка,Сделано
ФИКС: Записи участия прошлых лет - год везде 2024,Админка,Сделано
подсветка лейбла статуса волонтера,Мобилка,Сделано
Проблемы с неотсортированными заездами,Админка,Сделано
Логирование изменений в карточке волонтера,Админка,Сделано
+ФИКС: при смене группового бейджа у юзера слетает инфа обо всех заезда,Админка,Сделано
"поменять колонки план/факт в графиках в статистике админки,  неудобно пользоваться",Админка,Сделано
+ФИКС: задизейблить или убрать кнопку добавления порции для кота,Админка,Сделано
